Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
AB,ALL,ALL,40-44,Tx,17,12,12,12,11,9,7,7,7,6,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,
AB,ALL,ALL,40-44,events,,3,,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,40-44,censored,,2,,,,,2,,,1,1,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,
AB,ALL,ALL,45-49,Tx,20,17,17,17,14,14,14,11,10,9,8,8,8,8,8,7,6,6,4,4,4,4,4,4,3,3,3,3,3,2,1,1,1,0,0,,,,,
AB,ALL,ALL,45-49,events,,1,,,2,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,45-49,censored,,2,,,1,,,2,,1,,,,,,,1,,2,,,,,,1,,,,,1,1,,,1,,,,,,
AB,ALL,ALL,50-54,Tx,23,22,22,20,18,16,16,14,14,14,13,12,12,10,10,6,5,5,5,5,5,5,5,5,5,4,3,3,3,3,2,2,2,2,2,2,2,1,1,0
AB,ALL,ALL,50-54,events,,1,,,1,1,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,50-54,censored,,,,2,1,1,,1,,,1,,,1,,3,1,,,,,,,,,1,1,,,,1,,,,,,,1,,1
AB,ALL,ALL,55-59,Tx,24,24,24,24,22,20,20,19,19,18,17,16,14,13,11,11,11,9,9,8,8,7,6,6,6,6,6,5,3,3,2,2,2,2,2,2,1,1,0,0
AB,ALL,ALL,55-59,events,,,,,1,,,1,,1,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,55-59,censored,,,,,1,2,,,,,1,,1,1,2,,,,,1,,1,1,,,,,1,2,,1,,,,,,1,,1,
AB,ALL,ALL,60-64,Tx,23,19,18,18,17,17,14,13,12,9,6,6,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,
AB,ALL,ALL,60-64,events,,2,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
AB,ALL,ALL,60-64,censored,,2,,,1,,3,1,,2,3,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,
AB,ALL,ALL,65+,Tx,12,11,11,10,9,9,9,8,7,6,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1
AB,ALL,ALL,65+,events,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,ALL,65+,censored,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
AB,ALL,ALL,ALL,Tx,144,128,126,122,108,101,94,86,80,72,64,61,55,51,47,40,38,35,31,30,29,27,26,25,24,23,21,18,15,12,9,9,9,8,7,6,5,3,2,1
AB,ALL,ALL,ALL,events,,9,2,1,7,4,1,4,5,3,2,3,2,1,2,2,,2,1,,,1,,1,,,,1,,,,,,,,,,,,
AB,ALL,ALL,ALL,censored,,7,,3,7,3,6,4,1,5,6,,4,3,2,5,2,1,3,1,1,1,1,,1,1,2,2,3,3,3,,,1,1,1,1,2,1,1
AB,ALL,F,18-19,Tx,2,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,18-19,events,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,18-19,censored,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,25-29,Tx,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,,,,,,,,,
AB,ALL,F,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
AB,ALL,F,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,ALL,F,30-34,Tx,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
AB,ALL,F,30-34,events,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
AB,ALL,F,30-34,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,35-39,Tx,8,6,6,6,5,5,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
AB,ALL,F,35-39,events,,2,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,35-39,censored,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
AB,ALL,F,40-44,Tx,10,5,5,5,5,3,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,40-44,events,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,40-44,censored,,2,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,45-49,Tx,11,10,10,10,8,8,8,7,6,5,4,4,4,4,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,,,,,,,,,
AB,ALL,F,45-49,events,,1,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,45-49,censored,,,,,,,,1,,1,,,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,,,
AB,ALL,F,50-54,Tx,10,9,9,9,8,7,7,5,5,5,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
AB,ALL,F,50-54,events,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,50-54,censored,,,,,,1,,1,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
AB,ALL,F,55-59,Tx,18,18,18,18,16,15,15,15,15,14,13,12,11,10,9,9,9,7,7,7,7,6,5,5,5,5,5,4,3,3,2,2,2,2,2,2,1,1,0,0
AB,ALL,F,55-59,events,,,,,1,,,,,1,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,55-59,censored,,,,,1,1,,,,,1,,,1,1,,,,,,,1,1,,,,,1,1,,1,,,,,,1,,1,
AB,ALL,F,60-64,Tx,10,8,7,7,6,6,5,5,4,3,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,60-64,events,,1,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,60-64,censored,,1,,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,65+,Tx,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB,ALL,F,65+,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,F,65+,censored,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
AB,ALL,F,ALL,Tx,79,67,66,65,57,52,47,44,42,38,33,31,28,24,23,22,21,18,16,16,16,14,13,12,11,11,9,7,6,4,3,3,3,3,3,3,2,2,1,1
AB,ALL,F,ALL,events,,8,1,1,5,3,1,1,2,2,1,2,2,1,,,,2,1,,,1,,1,,,,,,,,,,,,,,,,
AB,ALL,F,ALL,censored,,4,,,3,2,4,2,,2,4,,1,3,1,1,1,1,1,,,1,1,,1,,2,2,1,2,1,,,,,,1,,1,
AB,ALL,M,25-29,Tx,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,25-29,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,30-34,Tx,4,4,4,4,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
AB,ALL,M,30-34,events,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,30-34,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,ALL,M,35-39,Tx,5,5,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,35-39,events,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,35-39,censored,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,40-44,Tx,7,7,7,7,6,6,6,6,6,5,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,
AB,ALL,M,40-44,events,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,40-44,censored,,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,
AB,ALL,M,45-49,Tx,9,7,7,7,6,6,6,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,,
AB,ALL,M,45-49,events,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,45-49,censored,,2,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,
AB,ALL,M,50-54,Tx,13,13,13,11,10,9,9,9,9,9,9,8,8,8,8,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,0
AB,ALL,M,50-54,events,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,50-54,censored,,,,2,1,,,,,,,,,,,2,1,,,,,,,,,1,,,,,1,,,,,,,1,,1
AB,ALL,M,55-59,Tx,6,6,6,6,6,5,5,4,4,4,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,
AB,ALL,M,55-59,events,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,55-59,censored,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,
AB,ALL,M,60-64,Tx,13,11,11,11,11,11,9,8,8,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,
AB,ALL,M,60-64,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
AB,ALL,M,60-64,censored,,1,,,,,2,1,,2,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,
AB,ALL,M,65+,Tx,7,7,7,7,6,6,6,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,
AB,ALL,M,65+,events,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,ALL,M,65+,censored,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
AB,ALL,M,ALL,Tx,65,61,60,57,51,49,47,42,38,34,31,30,27,27,24,18,17,17,15,14,13,13,13,13,13,12,12,11,9,8,6,6,6,5,4,3,3,1,1,0
AB,ALL,M,ALL,events,,1,1,,2,1,,3,3,1,1,1,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,
AB,ALL,M,ALL,censored,,3,,3,4,1,2,2,1,3,2,,3,,1,4,1,,2,1,1,,,,,1,,,2,1,2,,,1,1,1,,2,,1
AB,No,ALL,18-19,Tx,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,18-19,events,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,25-29,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
AB,No,ALL,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,No,ALL,30-34,Tx,5,5,5,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
AB,No,ALL,30-34,events,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,30-34,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,No,ALL,35-39,Tx,11,10,9,8,7,7,5,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
AB,No,ALL,35-39,events,,1,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,35-39,censored,,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
AB,No,ALL,40-44,Tx,14,10,10,10,9,8,6,6,6,5,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,
AB,No,ALL,40-44,events,,3,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,40-44,censored,,1,,,,,2,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,
AB,No,ALL,45-49,Tx,18,15,15,15,12,12,12,9,8,7,7,7,7,7,7,6,6,6,4,4,4,4,4,4,3,3,3,3,3,2,1,1,1,0,0,,,,,
AB,No,ALL,45-49,events,,1,,,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,45-49,censored,,2,,,1,,,2,,1,,,,,,,,,2,,,,,,1,,,,,1,1,,,1,,,,,,
AB,No,ALL,50-54,Tx,20,19,19,17,15,13,13,11,11,11,10,9,9,7,7,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,2,2,2,2,2,2,2,1,1,0
AB,No,ALL,50-54,events,,1,,,1,1,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,50-54,censored,,,,2,1,1,,1,,,1,,,1,,1,,,,,,,,,,1,1,,,,1,,,,,,,1,,1
AB,No,ALL,55-59,Tx,17,17,17,17,17,15,15,15,15,14,14,13,11,10,8,8,8,8,8,8,8,7,6,6,6,6,6,5,3,3,2,2,2,2,2,2,1,1,0,0
AB,No,ALL,55-59,events,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,55-59,censored,,,,,,2,,,,,,,1,1,2,,,,,,,1,1,,,,,1,2,,1,,,,,,1,,1,
AB,No,ALL,60-64,Tx,21,17,16,16,16,16,13,13,12,9,6,6,6,6,6,5,5,4,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,
AB,No,ALL,60-64,events,,2,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
AB,No,ALL,60-64,censored,,2,,,,,3,,,2,3,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,
AB,No,ALL,65+,Tx,12,11,11,10,9,9,9,8,7,6,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1
AB,No,ALL,65+,events,,,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,ALL,65+,censored,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
AB,No,ALL,ALL,Tx,120,106,104,100,91,85,78,72,66,59,54,51,45,41,37,32,32,31,28,28,27,26,25,25,24,23,21,18,15,12,9,9,9,8,7,6,5,3,2,1
AB,No,ALL,ALL,events,,8,2,1,6,3,1,3,5,3,1,3,2,1,2,2,,,1,,,,,,,,,1,,,,,,,,,,,,
AB,No,ALL,ALL,censored,,6,,3,3,3,6,3,1,4,4,,4,3,2,3,,1,2,,1,1,1,,1,1,2,2,3,3,3,,,1,1,1,1,2,1,1
AB,No,F,18-19,Tx,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,18-19,events,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,25-29,Tx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
AB,No,F,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,No,F,30-34,Tx,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,30-34,events,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,30-34,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,35-39,Tx,7,6,6,6,5,5,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,
AB,No,F,35-39,events,,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,35-39,censored,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
AB,No,F,40-44,Tx,7,3,3,3,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,40-44,events,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,40-44,censored,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,45-49,Tx,9,8,8,8,6,6,6,5,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,,,,,,,,,
AB,No,F,45-49,events,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,45-49,censored,,,,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,
AB,No,F,50-54,Tx,10,9,9,9,8,7,7,5,5,5,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,
AB,No,F,50-54,events,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,50-54,censored,,,,,,1,,1,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,
AB,No,F,55-59,Tx,13,13,13,13,13,12,12,12,12,11,11,10,9,8,7,7,7,7,7,7,7,6,5,5,5,5,5,4,3,3,2,2,2,2,2,2,1,1,0,0
AB,No,F,55-59,events,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,55-59,censored,,,,,,1,,,,,,,,1,1,,,,,,,1,1,,,,,1,1,,1,,,,,,1,,1,
AB,No,F,60-64,Tx,9,7,6,6,6,6,5,5,4,3,2,2,2,2,2,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,
AB,No,F,60-64,events,,1,1,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
AB,No,F,60-64,censored,,1,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,65+,Tx,5,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB,No,F,65+,events,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,F,65+,censored,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
AB,No,F,ALL,Tx,64,54,53,52,47,43,38,35,33,30,28,26,23,19,18,17,17,16,14,14,14,13,12,12,11,11,9,7,6,4,3,3,3,3,3,3,2,2,1,1
AB,No,F,ALL,events,,7,1,1,4,2,1,1,2,2,,2,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
AB,No,F,ALL,censored,,3,,,1,2,4,2,,1,2,,1,3,1,1,,1,1,,,1,1,,1,,2,2,1,2,1,,,,,,1,,1,
AB,No,M,30-34,Tx,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,
AB,No,M,30-34,events,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,30-34,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AB,No,M,35-39,Tx,4,4,3,2,2,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,35-39,events,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,35-39,censored,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,40-44,Tx,7,7,7,7,6,6,6,6,6,5,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,
AB,No,M,40-44,events,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,40-44,censored,,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,
AB,No,M,45-49,Tx,9,7,7,7,6,6,6,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,,,,,
AB,No,M,45-49,events,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,45-49,censored,,2,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,
AB,No,M,50-54,Tx,10,10,10,8,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,0
AB,No,M,50-54,events,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,50-54,censored,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,1
AB,No,M,55-59,Tx,4,4,4,4,4,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,
AB,No,M,55-59,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,55-59,censored,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
AB,No,M,60-64,Tx,12,10,10,10,10,10,8,8,8,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,
AB,No,M,60-64,events,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
AB,No,M,60-64,censored,,1,,,,,2,,,2,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,
AB,No,M,65+,Tx,7,7,7,7,6,6,6,5,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,
AB,No,M,65+,events,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,No,M,65+,censored,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
AB,No,M,ALL,Tx,56,52,51,48,44,42,40,37,33,29,26,25,22,22,19,15,15,15,14,14,13,13,13,13,13,12,12,11,9,8,6,6,6,5,4,3,3,1,1,0
AB,No,M,ALL,events,,1,1,,2,1,,2,3,1,1,1,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,
AB,No,M,ALL,censored,,3,,3,2,1,2,1,1,3,2,,3,,1,2,,,1,,1,,,,,1,,,2,1,2,,,1,1,1,,2,,1
AB,Null,ALL,25-29,Tx,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
AB,Null,ALL,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
AB,Null,ALL,25-29,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,Null,ALL,30-34,Tx,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
AB,Null,ALL,30-34,events,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
AB,Null,ALL,30-34,censored,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,Null,ALL,35-39,Tx,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
