,Prov,Con_ACT,Sex,Age,Measure,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39
30,AB,ALL,ALL,65+,censored,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
31,AB,ALL,ALL,ALL,Tx,144.0,128.0,126.0,122.0,108.0,101.0,94.0,86.0,80.0,72.0,64.0,61.0,55.0,51.0,47.0,40.0,38.0,35.0,31.0,30.0,29.0,27.0,26.0,25.0,24.0,23.0,21.0,18.0,15.0,12.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,3.0,2.0,1.0
32,AB,ALL,ALL,ALL,events,,9.0,2.0,1.0,7.0,4.0,1.0,4.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,,2.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,
33,AB,ALL,ALL,ALL,censored,,7.0,,3.0,7.0,3.0,6.0,4.0,1.0,5.0,6.0,,4.0,3.0,2.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,3.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0
34,AB,ALL,F,18-19,Tx,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AB,ALL,F,18-19,events,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AB,ALL,F,18-19,censored,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AB,ALL,F,25-29,Tx,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
38,AB,ALL,F,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
39,AB,ALL,F,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
40,AB,ALL,F,30-34,Tx,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
41,AB,ALL,F,30-34,events,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
42,AB,ALL,F,30-34,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AB,ALL,F,35-39,Tx,8.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
44,AB,ALL,F,35-39,events,,2.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AB,ALL,F,35-39,censored,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
46,AB,ALL,F,40-44,Tx,10.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,AB,ALL,F,40-44,events,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,AB,ALL,F,40-44,censored,,2.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,AB,ALL,F,45-49,Tx,11.0,10.0,10.0,10.0,8.0,8.0,8.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
50,AB,ALL,F,45-49,events,,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,AB,ALL,F,45-49,censored,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,
52,AB,ALL,F,50-54,Tx,10.0,9.0,9.0,9.0,8.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,
53,AB,ALL,F,50-54,events,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,AB,ALL,F,50-54,censored,,,,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
55,AB,ALL,F,55-59,Tx,18.0,18.0,18.0,18.0,16.0,15.0,15.0,15.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
56,AB,ALL,F,55-59,events,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
57,AB,ALL,F,55-59,censored,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,
58,AB,ALL,F,60-64,Tx,10.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
59,AB,ALL,F,60-64,events,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
60,AB,ALL,F,60-64,censored,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
61,AB,ALL,F,65+,Tx,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,AB,ALL,F,65+,events,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,AB,ALL,F,65+,censored,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
64,AB,ALL,F,ALL,Tx,79.0,67.0,66.0,65.0,57.0,52.0,47.0,44.0,42.0,38.0,33.0,31.0,28.0,24.0,23.0,22.0,21.0,18.0,16.0,16.0,16.0,14.0,13.0,12.0,11.0,11.0,9.0,7.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
65,AB,ALL,F,ALL,events,,8.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,2.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
66,AB,ALL,F,ALL,censored,,4.0,,,3.0,2.0,4.0,2.0,,2.0,4.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,,,,,1.0,,1.0,
67,AB,ALL,M,25-29,Tx,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,AB,ALL,M,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,AB,ALL,M,25-29,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,AB,ALL,M,30-34,Tx,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
71,AB,ALL,M,30-34,events,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,AB,ALL,M,30-34,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
73,AB,ALL,M,35-39,Tx,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
74,AB,ALL,M,35-39,events,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,AB,ALL,M,35-39,censored,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
76,AB,ALL,M,40-44,Tx,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,
77,AB,ALL,M,40-44,events,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
78,AB,ALL,M,40-44,censored,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
79,AB,ALL,M,45-49,Tx,9.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,
80,AB,ALL,M,45-49,events,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
81,AB,ALL,M,45-49,censored,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,
82,AB,ALL,M,50-54,Tx,13.0,13.0,13.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
83,AB,ALL,M,50-54,events,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
84,AB,ALL,M,50-54,censored,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0
85,AB,ALL,M,55-59,Tx,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,
86,AB,ALL,M,55-59,events,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,AB,ALL,M,55-59,censored,,,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
88,AB,ALL,M,60-64,Tx,13.0,11.0,11.0,11.0,11.0,11.0,9.0,8.0,8.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
89,AB,ALL,M,60-64,events,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
90,AB,ALL,M,60-64,censored,,1.0,,,,,2.0,1.0,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
91,AB,ALL,M,65+,Tx,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
92,AB,ALL,M,65+,events,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,AB,ALL,M,65+,censored,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
94,AB,ALL,M,ALL,Tx,65.0,61.0,60.0,57.0,51.0,49.0,47.0,42.0,38.0,34.0,31.0,30.0,27.0,27.0,24.0,18.0,17.0,17.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,11.0,9.0,8.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,1.0,1.0,0.0
95,AB,ALL,M,ALL,events,,1.0,1.0,,2.0,1.0,,3.0,3.0,1.0,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
96,AB,ALL,M,ALL,censored,,3.0,,3.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,,3.0,,1.0,4.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,2.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,,1.0
97,AB,No,ALL,18-19,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,AB,No,ALL,18-19,events,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,AB,No,ALL,18-19,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,AB,No,ALL,25-29,Tx,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
101,AB,No,ALL,25-29,events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,AB,No,ALL,25-29,censored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
103,AB,No,ALL,30-34,Tx,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,
104,AB,No,ALL,30-34,events,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
105,AB,No,ALL,30-34,censored,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
106,AB,No,ALL,35-39,Tx,11.0,10.0,9.0,8.0,7.0,7.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
107,AB,No,ALL,35-39,events,,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,AB,No,ALL,35-39,censored,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
109,AB,No,ALL,40-44,Tx,14.0,10.0,10.0,10.0,9.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,
110,AB,No,ALL,40-44,events,,3.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
111,AB,No,ALL,40-44,censored,,1.0,,,,,2.0,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
112,AB,No,ALL,45-49,Tx,18.0,15.0,15.0,15.0,12.0,12.0,12.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,,,,,
113,AB,No,ALL,45-49,events,,1.0,,,2.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
114,AB,No,ALL,45-49,censored,,2.0,,,1.0,,,2.0,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,
115,AB,No,ALL,50-54,Tx,20.0,19.0,19.0,17.0,15.0,13.0,13.0,11.0,11.0,11.0,10.0,9.0,9.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
116,AB,No,ALL,50-54,events,,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
117,AB,No,ALL,50-54,censored,,,,2.0,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0
118,AB,No,ALL,55-59,Tx,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,14.0,14.0,13.0,11.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
119,AB,No,ALL,55-59,events,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,AB,No,ALL,55-59,censored,,,,,,2.0,,,,,,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,,1.0,,1.0,
121,AB,No,ALL,60-64,Tx,21.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,12.0,9.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
122,AB,No,ALL,60-64,events,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
123,AB,No,ALL,60-64,censored,,2.0,,,,,3.0,,,2.0,3.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,
124,AB,No,ALL,65+,Tx,12.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
125,AB,No,ALL,65+,events,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,AB,No,ALL,65+,censored,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,
127,AB,No,ALL,ALL,Tx,120.0,106.0,104.0,100.0,91.0,85.0,78.0,72.0,66.0,59.0,54.0,51.0,45.0,41.0,37.0,32.0,32.0,31.0,28.0,28.0,27.0,26.0,25.0,25.0,24.0,23.0,21.0,18.0,15.0,12.0,9.0,9.0,9.0,8.0,7.0,6.0,5.0,3.0,2.0,1.0
128,AB,No,ALL,ALL,events,,8.0,2.0,1.0,6.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
129,AB,No,ALL,ALL,censored,,6.0,,3.0,3.0,3.0,6.0,3.0,1.0,4.0,4.0,,4.0,3.0,2.0,3.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,3.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0
160,AB,No,F,ALL,Tx,64.0,54.0,53.0,52.0,47.0,43.0,38.0,35.0,33.0,30.0,28.0,26.0,23.0,19.0,18.0,17.0,17.0,16.0,14.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,9.0,7.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
161,AB,No,F,ALL,events,,7.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
162,AB,No,F,ALL,censored,,3.0,,,1.0,2.0,4.0,2.0,,1.0,2.0,,1.0,3.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,,,,,1.0,,1.0,
