index	Prov	Con_ACT	Sex	Age	variable	Stay	Months_stayed
321	BC	No	M	60-64	M0	1.0	0
322	BC	No	M	60-64	M0	1.0	0
323	BC	No	M	65+	M0	1.0	0
324	BC	No	M	65+	M0	1.0	0
325	BC	No	M	65+	M0	1.0	0
326	BC		F	20-24	M0	1.0	0
327	BC		F	30-34	M0	1.0	0
328	BC		F	35-39	M0	1.0	0
329	BC		F	35-39	M0	1.0	0
330	BC		F	40-44	M0	1.0	0
331	BC		F	40-44	M0	1.0	0
332	BC		F	40-44	M0	1.0	0
333	BC		F	45-49	M0	1.0	0
334	BC		F	45-49	M0	1.0	0
335	BC		F	50-54	M0	1.0	0
336	BC		F	50-54	M0	1.0	0
337	BC		F	50-54	M0	1.0	0
338	BC		F	55-59	M0	1.0	0
339	BC		F	55-59	M0	1.0	0
340	BC		F	55-59	M0	1.0	0
341	BC		F	65+	M0	1.0	0
342	BC		F	65+	M0	1.0	0
343	BC		F	65+	M0	1.0	0
344	BC		F	65+	M0	1.0	0
345	BC		F	65+	M0	1.0	0
346	BC		M	40-44	M0	1.0	0
347	BC		M	50-54	M0	1.0	0
348	BC		M	55-59	M0	1.0	0
349	BC		M	60-64	M0	1.0	0
350	BC		M	65+	M0	1.0	0
351	BC		M	65+	M0	1.0	0
352	BC	Yes	F	20-24	M0	1.0	0
353	BC	Yes	F	40-44	M0	1.0	0
354	BC	Yes	F	40-44	M0	1.0	0
355	BC	Yes	F	50-54	M0	1.0	0
356	BC	Yes	F	55-59	M0	1.0	0
357	BC	Yes	F	55-59	M0	1.0	0
358	BC	Yes	F	55-59	M0	1.0	0
359	BC	Yes	F	60-64	M0	1.0	0
360	BC	Yes	F	65+	M0	1.0	0
361	BC	Yes	F	65+	M0	1.0	0
362	BC	Yes	F	65+	M0	1.0	0
363	BC	Yes	F	65+	M0	1.0	0
364	BC	Yes	M	40-44	M0	1.0	0
365	BC	Yes	M	55-59	M0	1.0	0
366	BC	Yes	M	60-64	M0	1.0	0
367	BC	Yes	M	60-64	M0	1.0	0
368	BC	Yes	M	60-64	M0	1.0	0
369	BC	Yes	M	65+	M0	1.0	0
370	BC	Yes	M	65+	M0	1.0	0
371	ON	No	F	20-24	M0	1.0	0
372	ON	No	F	20-24	M0	1.0	0
373	ON	No	F	20-24	M0	1.0	0
374	ON	No	F	25-29	M0	1.0	0
375	ON	No	F	25-29	M0	1.0	0
376	ON	No	F	25-29	M0	1.0	0
377	ON	No	F	25-29	M0	1.0	0
378	ON	No	F	30-34	M0	1.0	0
379	ON	No	F	30-34	M0	1.0	0
380	ON	No	F	30-34	M0	1.0	0
381	ON	No	F	30-34	M0	1.0	0
382	ON	No	F	30-34	M0	1.0	0
383	ON	No	F	35-39	M0	1.0	0
384	ON	No	F	35-39	M0	1.0	0
385	ON	No	F	35-39	M0	1.0	0
386	ON	No	F	35-39	M0	1.0	0
387	ON	No	F	35-39	M0	1.0	0
388	ON	No	F	35-39	M0	1.0	0
389	ON	No	F	35-39	M0	1.0	0
390	ON	No	F	35-39	M0	1.0	0
391	ON	No	F	35-39	M0	1.0	0
392	ON	No	F	35-39	M0	1.0	0
393	ON	No	F	35-39	M0	1.0	0
394	ON	No	F	35-39	M0	1.0	0
395	ON	No	F	35-39	M0	1.0	0
396	ON	No	F	40-44	M0	1.0	0
397	ON	No	F	40-44	M0	1.0	0
398	ON	No	F	40-44	M0	1.0	0
399	ON	No	F	40-44	M0	1.0	0
400	ON	No	F	40-44	M0	1.0	0
401	ON	No	F	40-44	M0	1.0	0
402	ON	No	F	40-44	M0	1.0	0
403	ON	No	F	40-44	M0	1.0	0
404	ON	No	F	40-44	M0	1.0	0
405	ON	No	F	40-44	M0	1.0	0
406	ON	No	F	40-44	M0	1.0	0
407	ON	No	F	40-44	M0	1.0	0
408	ON	No	F	40-44	M0	1.0	0
409	ON	No	F	40-44	M0	1.0	0
410	ON	No	F	40-44	M0	1.0	0
411	ON	No	F	40-44	M0	1.0	0
412	ON	No	F	40-44	M0	1.0	0
413	ON	No	F	40-44	M0	1.0	0
414	ON	No	F	40-44	M0	1.0	0
415	ON	No	F	40-44	M0	1.0	0
416	ON	No	F	40-44	M0	1.0	0
417	ON	No	F	40-44	M0	1.0	0
418	ON	No	F	40-44	M0	1.0	0
419	ON	No	F	40-44	M0	1.0	0
420	ON	No	F	40-44	M0	1.0	0
421	ON	No	F	40-44	M0	1.0	0
422	ON	No	F	40-44	M0	1.0	0
423	ON	No	F	40-44	M0	1.0	0
424	ON	No	F	40-44	M0	1.0	0
425	ON	No	F	45-49	M0	1.0	0
426	ON	No	F	45-49	M0	1.0	0
427	ON	No	F	45-49	M0	1.0	0
428	ON	No	F	45-49	M0	1.0	0
429	ON	No	F	45-49	M0	1.0	0
430	ON	No	F	45-49	M0	1.0	0
431	ON	No	F	45-49	M0	1.0	0
432	ON	No	F	45-49	M0	1.0	0
433	ON	No	F	45-49	M0	1.0	0
434	ON	No	F	45-49	M0	1.0	0
435	ON	No	F	45-49	M0	1.0	0
436	ON	No	F	45-49	M0	1.0	0
437	ON	No	F	45-49	M0	1.0	0
438	ON	No	F	45-49	M0	1.0	0
439	ON	No	F	45-49	M0	1.0	0
440	ON	No	F	45-49	M0	1.0	0
441	ON	No	F	45-49	M0	1.0	0
442	ON	No	F	45-49	M0	1.0	0
443	ON	No	F	45-49	M0	1.0	0
444	ON	No	F	45-49	M0	1.0	0
445	ON	No	F	45-49	M0	1.0	0
446	ON	No	F	45-49	M0	1.0	0
447	ON	No	F	45-49	M0	1.0	0
448	ON	No	F	45-49	M0	1.0	0
449	ON	No	F	45-49	M0	1.0	0
450	ON	No	F	45-49	M0	1.0	0
451	ON	No	F	45-49	M0	1.0	0
452	ON	No	F	45-49	M0	1.0	0
453	ON	No	F	45-49	M0	1.0	0
454	ON	No	F	45-49	M0	1.0	0
455	ON	No	F	50-54	M0	1.0	0
456	ON	No	F	50-54	M0	1.0	0
457	ON	No	F	50-54	M0	1.0	0
458	ON	No	F	50-54	M0	1.0	0
459	ON	No	F	50-54	M0	1.0	0
460	ON	No	F	50-54	M0	1.0	0
461	ON	No	F	50-54	M0	1.0	0
462	ON	No	F	50-54	M0	1.0	0
463	ON	No	F	50-54	M0	1.0	0
464	ON	No	F	50-54	M0	1.0	0
465	ON	No	F	50-54	M0	1.0	0
466	ON	No	F	50-54	M0	1.0	0
467	ON	No	F	50-54	M0	1.0	0
468	ON	No	F	50-54	M0	1.0	0
469	ON	No	F	50-54	M0	1.0	0
470	ON	No	F	50-54	M0	1.0	0
471	ON	No	F	50-54	M0	1.0	0
472	ON	No	F	50-54	M0	1.0	0
473	ON	No	F	50-54	M0	1.0	0
474	ON	No	F	50-54	M0	1.0	0
475	ON	No	F	50-54	M0	1.0	0
476	ON	No	F	50-54	M0	1.0	0
477	ON	No	F	50-54	M0	1.0	0
478	ON	No	F	50-54	M0	1.0	0
479	ON	No	F	50-54	M0	1.0	0
480	ON	No	F	50-54	M0	1.0	0
481	ON	No	F	50-54	M0	1.0	0
482	ON	No	F	50-54	M0	1.0	0
483	ON	No	F	50-54	M0	1.0	0
484	ON	No	F	50-54	M0	1.0	0
485	ON	No	F	50-54	M0	1.0	0
486	ON	No	F	50-54	M0	1.0	0
487	ON	No	F	50-54	M0	1.0	0
488	ON	No	F	50-54	M0	1.0	0
489	ON	No	F	50-54	M0	1.0	0
490	ON	No	F	50-54	M0	1.0	0
491	ON	No	F	50-54	M0	1.0	0
492	ON	No	F	50-54	M0	1.0	0
493	ON	No	F	50-54	M0	1.0	0
494	ON	No	F	50-54	M0	1.0	0
495	ON	No	F	50-54	M0	1.0	0
496	ON	No	F	50-54	M0	1.0	0
497	ON	No	F	50-54	M0	1.0	0
498	ON	No	F	50-54	M0	1.0	0
499	ON	No	F	50-54	M0	1.0	0
500	ON	No	F	50-54	M0	1.0	0
501	ON	No	F	50-54	M0	1.0	0
502	ON	No	F	50-54	M0	1.0	0
503	ON	No	F	50-54	M0	1.0	0
504	ON	No	F	50-54	M0	1.0	0
505	ON	No	F	50-54	M0	1.0	0
506	ON	No	F	50-54	M0	1.0	0
507	ON	No	F	50-54	M0	1.0	0
508	ON	No	F	50-54	M0	1.0	0
509	ON	No	F	50-54	M0	1.0	0
510	ON	No	F	50-54	M0	1.0	0
511	ON	No	F	50-54	M0	1.0	0
512	ON	No	F	50-54	M0	1.0	0
513	ON	No	F	55-59	M0	1.0	0
514	ON	No	F	55-59	M0	1.0	0
515	ON	No	F	55-59	M0	1.0	0
516	ON	No	F	55-59	M0	1.0	0
517	ON	No	F	55-59	M0	1.0	0
518	ON	No	F	55-59	M0	1.0	0
519	ON	No	F	55-59	M0	1.0	0
520	ON	No	F	55-59	M0	1.0	0
521	ON	No	F	55-59	M0	1.0	0
522	ON	No	F	55-59	M0	1.0	0
523	ON	No	F	55-59	M0	1.0	0
524	ON	No	F	55-59	M0	1.0	0
525	ON	No	F	55-59	M0	1.0	0
526	ON	No	F	55-59	M0	1.0	0
527	ON	No	F	55-59	M0	1.0	0
528	ON	No	F	55-59	M0	1.0	0
529	ON	No	F	55-59	M0	1.0	0
530	ON	No	F	55-59	M0	1.0	0
531	ON	No	F	55-59	M0	1.0	0
532	ON	No	F	55-59	M0	1.0	0
533	ON	No	F	55-59	M0	1.0	0
534	ON	No	F	55-59	M0	1.0	0
535	ON	No	F	55-59	M0	1.0	0
536	ON	No	F	55-59	M0	1.0	0
537	ON	No	F	55-59	M0	1.0	0
538	ON	No	F	55-59	M0	1.0	0
539	ON	No	F	55-59	M0	1.0	0
540	ON	No	F	55-59	M0	1.0	0
541	ON	No	F	55-59	M0	1.0	0
542	ON	No	F	55-59	M0	1.0	0
543	ON	No	F	55-59	M0	1.0	0
544	ON	No	F	55-59	M0	1.0	0
545	ON	No	F	55-59	M0	1.0	0
546	ON	No	F	55-59	M0	1.0	0
547	ON	No	F	55-59	M0	1.0	0
548	ON	No	F	55-59	M0	1.0	0
549	ON	No	F	55-59	M0	1.0	0
550	ON	No	F	55-59	M0	1.0	0
551	ON	No	F	55-59	M0	1.0	0
552	ON	No	F	55-59	M0	1.0	0
553	ON	No	F	55-59	M0	1.0	0
554	ON	No	F	55-59	M0	1.0	0
555	ON	No	F	55-59	M0	1.0	0
556	ON	No	F	55-59	M0	1.0	0
557	ON	No	F	55-59	M0	1.0	0
558	ON	No	F	60-64	M0	1.0	0
559	ON	No	F	60-64	M0	1.0	0
560	ON	No	F	60-64	M0	1.0	0
561	ON	No	F	60-64	M0	1.0	0
562	ON	No	F	60-64	M0	1.0	0
563	ON	No	F	60-64	M0	1.0	0
564	ON	No	F	60-64	M0	1.0	0
565	ON	No	F	60-64	M0	1.0	0
566	ON	No	F	60-64	M0	1.0	0
567	ON	No	F	60-64	M0	1.0	0
568	ON	No	F	60-64	M0	1.0	0
569	ON	No	F	60-64	M0	1.0	0
570	ON	No	F	60-64	M0	1.0	0
571	ON	No	F	60-64	M0	1.0	0
572	ON	No	F	60-64	M0	1.0	0
573	ON	No	F	60-64	M0	1.0	0
574	ON	No	F	60-64	M0	1.0	0
575	ON	No	F	60-64	M0	1.0	0
576	ON	No	F	60-64	M0	1.0	0
577	ON	No	F	60-64	M0	1.0	0
578	ON	No	F	60-64	M0	1.0	0
579	ON	No	F	60-64	M0	1.0	0
580	ON	No	F	60-64	M0	1.0	0
581	ON	No	F	60-64	M0	1.0	0
582	ON	No	F	60-64	M0	1.0	0
583	ON	No	F	60-64	M0	1.0	0
584	ON	No	F	60-64	M0	1.0	0
585	ON	No	F	60-64	M0	1.0	0
586	ON	No	F	60-64	M0	1.0	0
587	ON	No	F	60-64	M0	1.0	0
588	ON	No	F	60-64	M0	1.0	0
589	ON	No	F	60-64	M0	1.0	0
590	ON	No	F	60-64	M0	1.0	0
591	ON	No	F	60-64	M0	1.0	0
592	ON	No	F	60-64	M0	1.0	0
593	ON	No	F	60-64	M0	1.0	0
594	ON	No	F	60-64	M0	1.0	0
595	ON	No	F	60-64	M0	1.0	0
596	ON	No	F	60-64	M0	1.0	0
597	ON	No	F	60-64	M0	1.0	0
598	ON	No	F	65+	M0	1.0	0
599	ON	No	F	65+	M0	1.0	0
600	ON	No	F	65+	M0	1.0	0
601	ON	No	F	65+	M0	1.0	0
602	ON	No	F	65+	M0	1.0	0
603	ON	No	F	65+	M0	1.0	0
604	ON	No	F	65+	M0	1.0	0
605	ON	No	F	65+	M0	1.0	0
606	ON	No	F	65+	M0	1.0	0
607	ON	No	F	65+	M0	1.0	0
608	ON	No	F	65+	M0	1.0	0
609	ON	No	F	65+	M0	1.0	0
610	ON	No	F	65+	M0	1.0	0
611	ON	No	F	65+	M0	1.0	0
612	ON	No	F	65+	M0	1.0	0
613	ON	No	F	65+	M0	1.0	0
614	ON	No	F	65+	M0	1.0	0
615	ON	No	F	65+	M0	1.0	0
616	ON	No	F	65+	M0	1.0	0
617	ON	No	F	65+	M0	1.0	0
618	ON	No	F	65+	M0	1.0	0
619	ON	No	F	65+	M0	1.0	0
620	ON	No	F	65+	M0	1.0	0
621	ON	No	F	65+	M0	1.0	0
622	ON	No	F	65+	M0	1.0	0
623	ON	No	F	65+	M0	1.0	0
624	ON	No	F	65+	M0	1.0	0
